text	location	lon	lat	lat2	lon2	day
"Reclama por #Halloween
 
Celebra #Thanksgiving
Compra de todo en #BlackFriday"	Costa Rica	-84.1166715	10.0183212	9.748917	-83.753428	1
November rain~ (at Dr. Pirngadi General Hospital) Š—” https://t.co/2wkGcKNLF8	’“T: 3.55187,98.688361	98.68945	3.59917	NA	NA	1
I'm Ready For Thanksgiving!	W/. Courtney 	-80.00991889	33.88109571	40.2186815	-79.9686617	1
"ST has driving gloves...
#RedBeachRoadTrip http://t.co/42aXtKQhRO"	Shanghai	123.5167324	41.66671744	31.230416	121.473701	1
Miranda was keeping me warm tonight Í¾_ÍÙäÍ¾_ÍÙäÍ¾_ÍÙ_		-97.19217684	32.79629013	NA	NA	1
Wooo Its pretty chilly outside	West Texas 	-103.4897785	31.4208661	NA	NA	1
After an 8 hour shift taking a warm shower and finally snuggling up in blankets Í¾_Í±‘Í¾_Í±‘Í¾_Í±‘		-88.42034767	44.28071699	NA	NA	1
Or where we can just have a few cold ones after a long day at work &amp; just talk. Ya know, bonding. those are the best ones. Well I think so.	San Antonio, Tx	-98.55574032	29.31830407	NA	NA	1
Through the rainstorm and the blizzard.	hoptown	-87.44027212	37.05102009	NA	NA	1
Beautiful morning, caught up between summer &amp; winter... Warm sun, cold air.... What can I ask more than that!	Israel	34.5704092	31.6734569	NA	NA	1
Seem like when it rain EVERYBODY get on they feelings.....shidddddd	Birmingham, AL	-86.73516333	33.59462444	NA	NA	1
Low-key wide awake listening to the rain and hungry	ŠÈ£Harlem212/Knox865ŠÈ£	-83.9063118	35.9904061	NA	NA	1
Balik umah. Packing2. Flight petang ni. Good bye muar. Happy holiday uollss. (@ Kg Sri Tanjung) http://t.co/xz2SdzXzTA	Muar Š—¢Š—¢Š—¢ Perak	102.6332259	2.04175876	NA	NA	1
Can't believe it's nearly 6pm and it's this warm! Sun is burning! But of Hip Hop with some voddy on this Friday evening with everyone Í¾_Í±‘	Huddersfield	142.1531852	-34.19434433	NA	NA	1
It's November, you know what that meannnss...Friends Thanksgiving episodes!! Í¾_ÍÙÍ¾_Í_ÛÍ¾_Í_“	Aledo, Texas	-97.49967375	32.75260884	NA	NA	1
Yay last day of work before my holiday Š…—´ÙÍ¾_Í±ÈÍ¾_Í±Í¾_ÍÙ_#sunseacocktails #beachbody #excited #Egypt		-0.16944688	51.12516294	NA	NA	1
2nd cold already in the same month! I really need to get out of this country I obvs wasn't made for the damp cold.	Oval, London	-0.11278521	51.48085325	NA	NA	1
Thanks to the @arrivamidlandsW  driver who searched the lost property room to return my gloves. Sgolud be rewarded for customer service 1/2	UK	-2.0601649	52.7070083	NA	NA	1
The fact i were having the best dream about being on holiday in the sun to waking up in shitty sheffield proper sucks	Sheffield Š“‘	-1.5058613	53.4032672	NA	NA	1
Why is it sooooo windy ouuuut Í¾_ÍÙ«Í¾_ÍÙ« #cantsleep	canada 	-80.06902523	43.85599356	NA	NA	1
It is so fucking windy what the hell	Long Island 	-73.3365185	40.67926265	NA	NA	1
Hopefully it rains and stays windy all day		-78.55550892	42.8280714	NA	NA	1
I want snow		-73.07921378	41.83102518	NA	NA	1
It's November 1st and minus the rain, this weather is perfect. #notcomplaining		-75.39077922	40.62386338	NA	NA	1
far to over excited after picking up my new duck feather winter duvet from M&amp;S...gotta wait til tomo to use it tho #nomorecoldnights #snob	Rugby, Warwickshire, England	-1.25084809	52.37866933	NA	NA	1
#wind #report for Kumk’_y, Saró±yer, óçstanbul, Marmara Region, Turkey - http://t.co/eCH1gOH7s6 via @weendyapp http://t.co/yN3TbPZ2EG		29.02910995	41.23297119	NA	NA	1
November 1st Í¾_ÍÙ_ closer to Thanksgiving Í¾_ÍÙÍ¾_Í±‘	College Life Š“‘´Ù	-74.17908551	40.7389634	NA	NA	1
@bdaradio  "no rain" blind melon		-60.634574	-32.9479975	NA	NA	1
"""@Rahmina_Rofik: This weathers killin me man!""

Its sunny outside tho http://t.co/wsv19Cit79"		21.2377438	45.7338699	NA	NA	1
"Stolen shot. 
Ootd 
Top: Gwenchy sweater
Pants: #oxygen 
Socks: f21men
Shoes: dm's
#gwenchy #oxygenŠ—_ http://t.co/2ZrardYB2s"	Manila	120.98387	14.57581671	NA	NA	1
Only 2 classes stand between me and my brother, sister, and wittle pumpkin. #babyjones #hurryupkid	Kennesaw, GA	-91.7253232	35.24797389	NA	NA	1
"temperature up 18ÎçC -&gt; 19ÎçC
humidity down 52% -&gt; 46%
wind 13km/h -&gt; 26km/h"	Barcelona, Venezuela	2.15397	41.39917	NA	NA	1
Going to rain cat and dog today	Delta, nigeria.	5.7486593	5.5281912	NA	NA	1
the leaves are actually the best they've ever been Í¾_Í_ #brightred	MONTANA	-73.12580202	41.6045332	NA	NA	1
I'm freezing cold!!!		12.95061932	55.57189393	NA	NA	1
Unlimited cold water and Panda Express would be the greatest right about now	camp lejeune, north Carolina	-81.20529849	28.55825115	NA	NA	1
Š—“@Things4WhitePpl: Being hungover from celebrating a holiday intended for childrenŠ— yupp pretty much		-81.52912802	41.49129671	NA	NA	1
S/O to the kind stranger who gave me his sweatpants so I wouldn't have to walk in the cold. #marryme	Warrensburg Š“_´Ù St. Charles	-93.73489018	38.75916569	NA	NA	1
Thanksgiving, hurry up and get here!	Albuquerque, NM	-106.6197622	35.0867151	NA	NA	1
A very #DC day. #capital #work #politics #fall #leaves #color #gorgeous #photooftheday @ U.S. CapitolŠ—_ http://t.co/xeKJF0bZE1	Washington, DC	-77.00901031	38.89034807	NA	NA	1
Good job it's Halloween weekend because I'm so cold I could be a corpse ! Í¾_Í__#brrr	Doncaster 	-1.19796549	53.51363703	NA	NA	1
Loading up every last erg in the fleet, heading to @patsgym for sold-out training tmrw! #ergsonwheelsŠ—_ http://t.co/gdAATfNUw9	Houghton, MI	-88.5355763	47.10905455	NA	NA	1
The color or the mountains from the leaves are aaaamazingÍ¾_ÍÙÍ¾_Í_ÛÍ¾_Í_äÍ¾_Í_ #fall #Pennsylvania #gorgeous		-75.83578181	39.98128964	NA	NA	1
Thanksgiving is in 3 weeks.		-88.31834966	41.70516049	NA	NA	1
@helenamarfo oh bt here w bn expriencng rain since 2 wiks ago, ts only yestd nd today tht sun shines horribly	centurion	28.18933553	-25.90880187	NA	NA	1
White hot chocolate and cheese croissant while waiting for my class. Í¾_ÍÙŠ…«´ÙÍ¾_Í__	Toronto, ON	-79.22847673	43.78516861	43.653226	-79.3831843	1
The leaves are so beautiful! #Avl #Fall @ Asheville, NC http://t.co/8fGOsakfTy	 On the moon	-82.55369425	35.60066556	49.4562999	-90.6354175	1
rainy day!!	Puerto Rico GUAYNABO 	-66.11990764	18.35991036	18.3574502	-66.1109998	1
First day in my new job tomorrow, let's hope the rain keeps off Í¾_Í_ä	Manchester	-2.25388337	53.38994938	53.479324	-2.2484851	1
"mostly cloudy -&gt; partly cloudy
temperature up 56ÎçF -&gt; 61ÎçF
humidity down 69% -&gt; 55%
wind 18mph -&gt; 13mph
pressure 29.64in falling"	Fairborn, OH	-84.02213	39.82715	39.8208925	-84.0193789	1
@michaelliggins lol...I don't mind inclement weather, but I prefer it dry and without wind to be honest	Midlands & London, UK	-1.96623556	52.35694075	-19.0552009	29.6035495	1
Quel bon vent tŠ—Èemm’åne? / Did you get wind of this? (@ Vices &amp; Versa Bistro Du Terroir) [pic]: http://t.co/d9UYxm99xO	Petite-Patrie, Qc	-73.61055962	45.531358	45.5356926	-73.6064628	1
Fuck this holiday		-73.95563264	40.71414534	NA	NA	1
@StopCreeping007 if you like pumpkin you'll like it. I prefer warlock or pumpkinator. More stout than pumking.	Dallas, Tx	-96.85384665	32.94392676	32.7801399	-96.8004511	1
Getting into the Halloween spirit #pumpkin #spooky #carving #london #funwithnyniece #scaryface @ WestŠ—_ http://t.co/zT87KYc8l5	Manchester 	-0.38252846	51.47160995	53.479324	-2.2484851	1
So Anxious For Thanksgiving	FlyinŠ“_ Private On (Cloud Š…)9	-81.6902953	30.3955442	NA	NA	1
My feet are always cold but my back is always hot Í¾_ÍÙ_		-98.23519839	26.23717994	NA	NA	1
Yap no matter rain or storm no one can stop me for trick or treat hehehe happy Halloween againŠ—_ http://t.co/SlsTuuuXua	Toronto. Canada. 	-79.43822926	43.64029273	43.653226	-79.3831843	1
I could have also had a 6 pack of pumpkin ale, except I don't because that shit is gross.	San Diego, CA	-117.1544899	32.73213881	32.7153292	-117.1572551	1
My pumpkin is in the middle. @ Home sweet home http://t.co/j9XqJcpJgL	Manteca, California 95336	-121.2131373	37.79644718	37.8403398	-121.2053963	1
Love is rain ŠÈÇ http://t.co/jJhURgAFY5	’“T: 3.668724375,98.6822315625	98.74794312	3.59423056	NA	NA	1
Why do I even bother shaving my legs in the winter #goosebumps	Dubuque Iowa	-90.61790668	42.63852032	42.5005583	-90.6645718	1
Celebrating my love's favorite holiday at a palm beach street party! #halloween #palmbeach #skullscarfŠ—_ http://t.co/0bLqXpLGHb	Indianapolis, IN	-80.050157	26.71321005	NA	NA	1
Once again another night is ruined by the rain.		-90.11984971	29.93704019	NA	NA	1
This wind and rain needs to shut the fuck up		-83.66547107	43.45080634	NA	NA	1
These smeezes go with the flow like winter breezes	Batmobile	-79.95309924	40.42865137	NA	NA	1
Š—“@tessgarcia_: srsly. i hate that shit. this is a childrens holiday.Š—	Visalia, Ca	-119.3231489	36.29729004	NA	NA	1
Everyone's talking about a storm, and I haven't heard anything all night ..? Í¾_ÍÙ±		-84.57141542	37.88288009	NA	NA	1
@RickiT1214 my sweatshirt smells like the inside of a pumpkin Í¾_ÍÙ•Í¾_Í_Û		-93.60584244	42.00181738	NA	NA	1
@MitchelVolis u look cold, wanna use me as your blanket?	jersey	-74.37864349	40.29933682	NA	NA	1
- okeyyy , boleh pergi holiday dgn tenanggggggg . yeahhhhhhhhhhhh		102.2503163	6.0725456	NA	NA	1
"Dad; fernie u cold? 
Me: no im hott dude 
Dad: you're not Danny. 
-______- 
BAI DUDE. DONE WITH U"		-87.9405099	43.0477193	NA	NA	1
14 inches of rain reported in wimberly... Is @climbonproducts still afloat?! Haha	Fort Worth, TX	-97.22140042	32.81272905	NA	NA	1
My fucking Celling is leaking how fucking great #rain		-83.36612134	42.28994669	NA	NA	1
November rain	indonesia	110.33715	-7.78164	NA	NA	1
Thank you BJ Cheerleaders for always being right there with the FB squad. Rain/cold...nothing keeps the best cheerleaders in the state away		-86.76339025	34.70754535	NA	NA	1
Then Kaitlyn everyday... I wanna kms, well I'll fix you some ice cold bleach if you need it.	Splendora, TX	-95.18815641	30.28164227	NA	NA	1
Jesus fuck it's cold	Good VibesŠ“‘´ÙStay Steezy	-116.3749336	43.65049419	NA	NA	1
Maaann I'm so cold right now	Welwyn garden city	-0.18867222	51.7939612	NA	NA	1
hope the rain stops		101.584428	3.17346654	NA	NA	1
Dibilang bandung ayo"@ikaarahma: Need holiday"	Old Trafford, Manchester	107.0287552	-6.2116131	NA	NA	1
Hello rain	Philippines	125.8194391	7.4599787	NA	NA	1
The forecast for Bath today: light rain, roughly 12ÎçC. Daylight from 7:03 am to 4:43 pm. http://t.co/YV44RWQ18c	Bath, UK	-2.36097	51.381548	NA	NA	1
"I'm cold &gt;.&lt; 
My feet hurt!"		-118.0000703	33.84455441	NA	NA	1
Can't tell if it's the wind howling or my pug or dad snoring.... #spooky	Des Plaines/Chicago	-87.89730924	42.03628832	NA	NA	1
Please don't rain#dyingforagameofsoccer		-2.64815946	51.47848447	NA	NA	1
Going to depart, holiday mood on .... Í¾_ÍÙ_ @ KLIA http://t.co/xukuh1G7dL		98.29982352	7.89412821	NA	NA	1
@HopperAndSpace @weareDECORUM I hope so.. That was our holiday fund ;)	London	-0.09753757	51.47023925	NA	NA	1
Lien in bed listening to that rain #Heaven	waterford,ireland	-7.11329586	52.24015939	NA	NA	1
@kukuhruyuk15 holiday	Undetected	108.5574555	-6.7191743	NA	NA	1
Oh, cold mornings of Reykjav’_k, how beautiful are you!	KEF Šö‘ BIO	-21.955283	64.14935195	NA	NA	1
It's gonna snow Sunday... no	Maine	-70.19680986	44.09822239	NA	NA	1
Jogging time... #jogging #fitness #bgc #thefort #halloween #holiday #nogym #happy Í¾_Í_éÍ¾_Í±Í¾_ÍÙç @ BonifacioŠ—_ http://t.co/yzV56cQmha	Philippines	121.047771	14.55145559	NA	NA	1
It's sooo warm out wtff		-73.98355851	40.58903896	NA	NA	1
I can not believe this storm has been going on outside for sooo long now! This is 12 hours &amp; counting!	Brantford, ON Canada	-80.27364607	43.18435818	43.1393867	-80.2644254	1
I don't think it's gonna snow this year...but who knows.	uncommon location.	-78.89580078	36.71391755	NA	NA	1
Canadians plan on starting holiday shopping early this year: polls: Nearly three-quarters of Canadians recently... http://t.co/pzsF0XAG1E	Toronto, ON	-79.37536382	43.64842391	43.653226	-79.3831843	1
Š—“@TheFacts1O1: Sexual intercourse is a good cure for the common cold, it also strengthens the immune system.Š— Is this true @Mo_Guap	L-city	33.81140599	-13.94567475	52.0333333	113.5	1
@gotothemount lookin' for a sweater for my own dog ;)		-63.64494918	44.67020937	NA	NA	1
This morning's rain gauge - @weatherchannel #OHwx #WrenOH http://t.co/Zi7r4UyxyO		-84.78291864	40.85839054	NA	NA	1
So excited to walk to class in the rain Í¾_ÍÙ		-72.95304126	41.33246565	NA	NA	1
If it's a holiday, I'm not here. :) (@ Muir Biology Building) http://t.co/l5kkBWii1H	San DIego, CA	-117.2409465	32.8786954	32.7153292	-117.1572551	1
@justinsdrizzys I would have party bc she never leaves me alone	Sweden	18.01273383	59.26067992	60.128161	18.643501	1
this rain flexin tho!		-81.4389935	35.2442059	NA	NA	1
@ToddGerlander @blairgarner @LisaKon127 @TammyGooGoo @Ashley_Mann @jillwilderman @BillCodyWSM @stormewarren @nan_kelley thx Todd! Yay 4 Fri!		-118.3493922	34.0610186	NA	NA	1
"So happy it's finally holiday season
 Í¾_Í_ÛÍ¾_Í_ÄÍ¾_Í_ÜÍ¾_Í_Í¾_Í__Í¾_Í__Í¾_Í_"		-87.66051558	42.00086581	NA	NA	1
Training #NShit (@ University of Tennessee at Chattanooga) http://t.co/mmZvWImGZZ	charlotte,nc 	-85.29868841	35.04680975	NA	NA	1
"@fyeahjaycobbbb: I hope it isn't cold tonight"	CALIF ŠÈRIA	-121.9989131	37.34971632	NA	NA	1
I hate rain	Bristol,CT	-72.95622359	41.6642216	NA	NA	1
"@kaaynicole_: I can clearly see the sunshine but I'm steadily walkin thru the rain.."	256	-87.6654427	34.8835086	NA	NA	1
@Tim_Jack you really need to buy @ellabobellaa a sweater from target!! #YoureNothingWithoutHer		-81.02725825	33.99624674	NA	NA	1
So windy! I love it !!	New Hampshire	-70.92867072	43.13451043	NA	NA	1
#instacollage #autumn #good #day #like #nice #today #zazaza @ Katcher_Home http://t.co/fDJAemEzqw		27.57547757	53.92958825	NA	NA	1
@Onac_Flatts miss you too! Gotta chill when I'm back in town for winter break!	California Š“_ Kentucky	-85.29714948	37.10285045	NA	NA	1
Can never go wrong with a cold ass cup of water Í¾_ÍÙÍ¾_Í__Í¾_Í__Í¾_ÍÙ		-122.4037378	37.78411107	NA	NA	1
So far we've found a backpack full of candy, a sweater, a shoe, 2 pairs of glasses, a shark costume, and broken oakleys in the fireplace.	Flagstaff, AZ	-111.6448988	35.21092096	NA	NA	1
@Lovelyy_Lyss he leaves me speechless sometimes		-72.90987594	40.8276654	NA	NA	1
cold as the winter wind when it breeze.. @ parque tingui http://t.co/10wfPuZLnw	Brazil	-49.3323991	-25.3834047	NA	NA	1
Hats off to all those leaves that are still hanging on after all that strong wind today. #fall	Sussex Corner, NB	-65.4698142	45.72261485	NA	NA	1
I can actually say I'm looking forward to the winter haha(:	c l e v e l a n d	-81.88030707	41.43982858	38.692599	-92.4284939	2
And when grandpa spoke polish to the nurse telling him he's cold I cried again.	pierce the veils wasteland	-92.92956821	47.40944062	NA	NA	2
Weather is cold :s		50.58938861	26.12757455	NA	NA	2
@soorajdreams lol bitch come to San Antonio . I need to see you before one of us leaves	HNL	-98.61297568	29.4855877	21.332898	-157.921418	2
@OhItsD_Venna let's run in the rain	Allen University	-81.01965469	34.01006081	34.0108129	-81.0200807	2
Thank FSM for floppy hats on sunny days when The Tess is forced to leave the house in search of food.	LA	-118.3483305	34.15232762	34.0522342	-118.2436849	2
100% chance of rain tonight		-77.3576772	35.58039576	NA	NA	2
Back roads and cold onesÍ¾_Í±‘	Stilwell Oklahoma	-94.42816933	35.38747877	35.81453	-94.6285553	2
"Ono" lunch at Ba-Le Vietnamese restaurant. Seafood pho, cold noodle salad, Vietnamese coffee. #hawaiiŠ—_ http://t.co/1EK7lDevU6	Santa Cruz County CA	-155.9951238	19.64504381	36.9305075	-121.9017954	2
My face when I remember that my winter hat has a bottle opener = priceless	Fort Erie	-75.68091303	45.42298734	42.9017764	-78.9721745	2
I want to do my fake tan but it's so cold I don't want to have to take my clothes off. #studenthouseproblems	Liverpool/Nantwich	-2.9373501	53.39765964	53.4083714	-2.9915726	2
Asha storm!	Accra, Ghana	-0.2422448	5.58693652	5.5557169	-0.196306	2
Devonport :- the current temp is 17.3ÎçC | wind speed 6.1 km/h | gusting 27.0 km/h | rain today 0.9 mm | http://t.co/L8Xwxd2izS	Devonport - Auckland	174.7938889	-36.81944444	-36.8274402	174.7966955	2
Now that Halloween is over, Thanksgiving and Christmas will be here before we know it Í¾_Í_ÄÍ¾_Í_Ü		-110.9574368	32.28563078	NA	NA	2
Orang kat mesia selalu puji kalau aku post gambar ala autumn "Eee cantiknya" Depa tak tahu lantai kotor daun gugur banyak.	Tanah Awesome Johor	-3.19066775	51.47891477	NA	NA	2
Fighting a cold but still Rockin' at Main Street Theatre in Michigan City, IN http://t.co/c2CtC2gPLa		-86.89999548	41.71371984	NA	NA	2
I want a pumpkin pie blizzard. Í¾_ÍÙ		-111.8001915	33.3457657	NA	NA	2
Gone with the wind, porque ya me rend’_.	Casablanca. 	-89.662191	21.0007134	33.5333333	-7.5833333	2
It's so cold this fire isn't working. You had one Job.		-73.34455255	40.85003864	NA	NA	2
The wind just blew me over in the parking lot and now I have scraped knees. #needtogainweight	Halifax, NS	-63.65002676	44.652391	44.6488625	-63.5753196	2
Okay where tf did this rain come from		-95.2155321	29.60699291	NA	NA	2
"fog -&gt; fair
temperature down 58ÎçF -&gt; 55ÎçF
humidity up 99% -&gt; 100%
wind 0mph -&gt; 1mph"	Lake Ridge, VA	-77.29821	38.68796	NA	NA	2
@tbrighttt35 mj didn't have the fuckin flu... That nigga had a head cold.... Lol and nah it was just once lol I'm positive	BSCC Gym	-88.14141859	30.66856656	NA	NA	2
Feel a cold coming onÍ¾_ÍÙ© sore throat/fever...god damnit.	Whittier	-117.9150448	33.79927884	NA	NA	2
Short holiday (with Fathatul, Arfi, and 5 others at Pondok Wisata Aki &amp; Enin) [pic] Š—” https://t.co/k5cyfeba6t	Bandung, Jawa Barat	107.65954	-6.92817	NA	NA	2
@EthanNeitzelt Nawh, artificial sedation makes me drowsy in the morning and I can't stand it. Might just try warm milk.	Look for me on	-77.7068013	39.6500536	NA	NA	2
Ima miss tha summer shided cause its cold af outside	Tuscaloosa,AL	-89.80933921	33.76043888	NA	NA	2
Jesus it's cold!!!!	Carlisle 	-2.94380654	54.88118806	NA	NA	2
"*goes to @Whataburger*

*everyone leaves*"	Alice, Texas	-98.0731411	27.75971536	NA	NA	2
You can not tell me Chris Paul's shoes aren't icy		-93.27402204	45.09266043	NA	NA	2
its  cold and i want to dip		-118.3413035	33.7978125	NA	NA	2
You've got a warm heart, you've got a good brain	Connecticut to California.	-121.9934916	37.19098264	NA	NA	2
Sum dude just made it rain 20's	RounDaWay, La	-92.66922543	32.5335244	NA	NA	2
This rain is just in time....	Duval, Jacksonville FL 	-81.69048148	30.35701867	NA	NA	2
I'm cold Í¾_ÍÙ©		-79.04030933	43.09576974	NA	NA	2
Torri Kelly, the rain, the buzz, pretty sweet.	Portland, OR.	-122.6608724	45.50387618	NA	NA	2
Shit having the cold		-3.2008529	56.1327624	NA	NA	2
@davidmutter3 Paris is good, hope you enjoy your holiday.	Aberdeen, Scotland	2.30474003	48.87186022	NA	NA	2
Better late than never. #halloween #jackolantern #holidays #pumpkin #pumpkins @ Vancouver http://t.co/1Z4270kqoy	Vancouver	-123.1121942	49.2803218	NA	NA	2
rain rain go away		121.1549776	14.06948523	NA	NA	2
im so cold	LaMarina/Spain	-0.66881144	38.14014867	NA	NA	2
It's a bit chilly on the roof terrace this morning.. At least it's not snowing yet!! 9am opening. Come and see us. http://t.co/qIyKxj1b7f	newcastle city centre	-1.61954897	54.97473994	NA	NA	2
Looking forward to the autumn internationals today. #ENGvAUS	England 	-2.70513116	52.0710148	NA	NA	2
it's so cold, yet I go to gym in like little beach shortsÍ¾_Í_ÛŠÜ´ÙÍ¾_Í_äŠ_Ü´Ù		-2.41281465	51.53232392	NA	NA	2
@DavidPulman @PATRICKCNN @cnvpeters cold wet day in Newcastle favours Chelsea0-2 too many French in toon @jipeREY	Buckinghamshire,UK.	-0.55689428	51.59917455	NA	NA	2
The fire is so warm	huntington beach 	-117.9831785	33.70007596	NA	NA	2
7 celcius in here.. #korea #seoul #itaewon #birthdaytrip #holiday @ Itaewon Moslem Center Mosque http://t.co/gWJqugHWu6	Selangor, Malaysia	126.9983864	37.53845474	NA	NA	2
#painting #potala #palace #ciao #earth #snow #mountain #green #trees #blue #clouds #skyline #bellaŠ—_ http://t.co/ycUYiYUYQ3	Hong Kong, HK	113.945308	22.290555	NA	NA	2
En v’Çd tur i skoven er alts’Ç l’_kker nu og da #rain #fall #forrest #dog @ N’Ùrreskoven http://t.co/mH1nLQHi4x	Aabenraa, Denmark 	9.41324197	55.05916989	NA	NA	2
Bout to warm this food up fr though	SouthSide Andalusia AL	-86.48090432	31.29485675	NA	NA	2
Keeping each other warm Í¾_ÍÙ‘Í¾_Íç_ #marleypuppy  #babypuppy  #ilovedogs #ilovemarley #shihpoo #husbbband @Š—_ http://t.co/Ge6IDFrRR4	Para’±aque City, Philippines	120.6146371	16.40373972	NA	NA	2
@JessHallam_ you got sick in a pumpkinÍ¾_Í± 	Chigwell, Essex.	0.08152189	51.61576568	NA	NA	2
Its not going to rain... its gonna rain... (@ Solenad Nuvali w/ 9 others) http://t.co/HAPTtxxMS2	Manila, PH	121.058135	14.2415998	NA	NA	2
# its so cold outside	I lov one direction Inverness 	-4.2259797	57.443755	NA	NA	2
OMG the wind!! Í¾_ÍÙ_	Caerdydd/Cymru î—¢îâ	-3.1540024	51.51868352	NA	NA	2
@Sxxnghyxn no it was on okto channel. So... Ninja storm pink ranger doesn't wear bra??	Azzkaytee	103.900155	1.39219911	NA	NA	2
@Gromit248 just a little (although not as close as I was planning) - leaves scope for another PB soon, was a 2 second improvement :)	Kent	0.519696	51.27651705	NA	NA	2
Sleepy. And this rain doesn't help. Swear I was falling asleep at the register this morning.	Ocala, Florida 	-82.09544454	29.22646233	NA	NA	2
#_±_µ_Ž___ç #_±_µ_Ž__‹ö___ç #___Ž_µ‹‹Û #‹Ä___Ž___‚____ #_è_ç‹—__ #cold #park #belka #autumn #followme #follow @ __‹ _____ç‹ _•_ç_à_ç http://t.co/ZFNgchthqZ	___µ_Ž‹_±_Ù__‹__	61.29608618	55.1930505	NA	NA	2
"Through the storm we reach the shore
You give it all but I want more
And I'm waiting for you
With or without you Í¾_Í__"	London	-0.14444666	51.52611601	NA	NA	2
On the way to EL...nothing like tailgating in the rain! #BEATMICHIGAN		-84.19387478	42.60155546	NA	NA	2
It's a damn cold night.Trying to figure out this life. @ óçstanbul http://t.co/88Dckp6qX1	Heaven	28.97764206	41.00645949	NA	NA	2
Rains holding off for now! Don't let the weather stop you, we've got fantastic food that'll warm you right up!! http://t.co/ZXY5csXwDr	Nottingham, UK	-1.14458339	52.95277128	NA	NA	2
@HazelMaher2 So your gonna be bring the Chung wans home and driving them around to keep them warm? Oh hazel you've a kind soulÍ¾_Í__		-6.9597159	52.53955623	NA	NA	2
"Hii @Harry_Styles The #StoryOfMyLife a take her home , I drive all night to keep her warm and time..""Í¾_Í__Í¾_Í_µ

If u see Í¾_Í±—
Please follow me Í¾_Í±‘Í¾_ÍÙ— X55"		34.74696656	32.02066179	NA	NA	2
@shOpryMills how do I find out the Thanksgiving/Black Friday hours for the @jcrew factory store?		-86.16452412	39.79018527	NA	NA	2
It's to damn cold outside xP		-95.48209981	29.89411004	NA	NA	2
I've just said hello to my carved pumpkin outside the house. #WhatAmIDoingWithMyLife		-64.78726186	46.09416039	NA	NA	2
Hujan...november rain..smga berkahMu ini mengaiskan kpdihan dan ksulitan hngga yg brsisa kdamaian dan kbhgiaan..	Kalimantan Timur	117.5398163	0.49419332	1.6406296	116.419389	2
I swear the storm was supposed to be on monday, not today	Cardiff/UWE Bristol	-3.18548111	51.47126335	51.454513	-2.58791	2
My hold cold asf..		-97.49948113	35.32412779	NA	NA	2
And here comes the snow. #yyc	Calgary, Alberta	-114.0973113	51.03819526	51.0453246	-114.0581012	2
Sand + warm sun beaming + a cool breeze = perfection	iPhone: 33.788968,-84.347989	-80.71668366	32.16695596	NA	NA	2
#sun #beach #holiday #saturday #sister #friend lucila_rmc &lt;3 @ Ubatuba - SP http://t.co/NJsihgMIUz	Brasil	-45.07453004	-23.48409965	-14.235004	-51.92528	2
It's too cold, time to get the hot water bottle out Š…”´Ù	England, Manchester	-2.19592428	53.48035203	53.479324	-2.2484851	2
Thanksgiving? But the tv says it's Christmas! I don't know you guys...something's fishy here.	Washington D.C.	-77.0433581	38.85327087	38.9072309	-77.0364641	2
